mp_id,full_name,post_name,unit_name,post_title
18090,Єфімов Максим Вікторович,Член депутатської групи,"Група ""ДОВІРА""","Член депутатської групи ""ДОВІРА"""
18090,Єфімов Максим Вікторович,Член Комітету Верховної Ради України,"Комітет Верховної Ради України з питань прав людини, деокупації та реінтеграції тимчасово окупованих територій у Донецькій, Луганській областях та Автономної Республіки Крим, міста Севастополя, національних меншин і міжнаціональних відносин","Член Комітету Верховної Ради України з питань прав людини, деокупації та реінтеграції тимчасово окупованих територій у Донецькій, Луганській областях та Автономної Республіки Крим, міста Севастополя, національних меншин і міжнаціональних відносин"
18090,Єфімов Максим Вікторович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Федеративною Республікою Німеччина,Член групи з міжпарламентських зв'язків з Федеративною Республікою Німеччина
18090,Єфімов Максим Вікторович,Співголова групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Швейцарською Конфедерацією,Співголова групи з міжпарламентських зв'язків з Швейцарською Конфедерацією
18090,Єфімов Максим Вікторович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Державою Кувейт,Член групи з міжпарламентських зв'язків з Державою Кувейт
18090,Єфімов Максим Вікторович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків з Об'єднаними Арабськими Еміратами,Член групи з міжпарламентських зв'язків з Об'єднаними Арабськими Еміратами
18090,Єфімов Максим Вікторович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Сполученими Штатами Америки,Член групи з міжпарламентських зв'язків з Сполученими Штатами Америки
18090,Єфімов Максим Вікторович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Республікою Казахстан,Член групи з міжпарламентських зв'язків з Республікою Казахстан
18090,Єфімов Максим Вікторович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Малайзією,Член групи з міжпарламентських зв'язків з Малайзією
21110,Іванісов Роман Валерійович,Голова підкомітету Комітету Верховної Ради України,Підкомітет з питань антикорупційної політики в економічній сфері Комітету Верховної Ради України з питань антикорупційної політики,Голова підкомітету з питань антикорупційної політики в економічній сфері Комітету Верховної Ради України з питань антикорупційної політики
21110,Іванісов Роман Валерійович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Соціалістичною Республікою В'єтнам,Член групи з міжпарламентських зв'язків з Соціалістичною Республікою В'єтнам
21110,Іванісов Роман Валерійович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Сполученими Штатами Америки,Член групи з міжпарламентських зв'язків з Сполученими Штатами Америки
21110,Іванісов Роман Валерійович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Чорногорією,Член групи з міжпарламентських зв'язків з Чорногорією
21110,Іванісов Роман Валерійович,Заступник співголови групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Республікою Хорватія,Заступник співголови групи з міжпарламентських зв'язків з Республікою Хорватія
21110,Іванісов Роман Валерійович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків з Об'єднаними Арабськими Еміратами,Член групи з міжпарламентських зв'язків з Об'єднаними Арабськими Еміратами
21110,Іванісов Роман Валерійович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Мексиканськими Сполученими Штатами,Член групи з міжпарламентських зв'язків з Мексиканськими Сполученими Штатами
21110,Іванісов Роман Валерійович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Республікою Кіпр,Член групи з міжпарламентських зв'язків з Республікою Кіпр
21112,Іванов Володимир Ілліч,Член депутатської фракції,"Фракція ПОЛІТИЧНОЇ ПАРТІЇ ""СЛУГА НАРОДУ""","Член депутатської фракції ПОЛІТИЧНОЇ ПАРТІЇ ""СЛУГА НАРОДУ"""
21112,Іванов Володимир Ілліч,Член Комітету Верховної Ради України,"Комітет Верховної Ради України з питань організації державної влади, місцевого самоврядування, регіонального розвитку та містобудування","Член Комітету Верховної Ради України з питань організації державної влади, місцевого самоврядування, регіонального розвитку та містобудування"
